Date|Likes|Retweets|Lang|User
09-01-2023|0|0|es|Sv_Greenpower
09-01-2023|0|3|es|FeministasMede1
09-01-2023|0|3|es|Pipeper22924805
09-01-2023|0|3|es|EnamratedeMede
09-01-2023|9|3|es|jorgetorresra
09-01-2023|0|0|es|Sv_Greenpower
08-01-2023|0|6|und|potenciaverde_
08-01-2023|0|4|es|potenciaverde_
08-01-2023|0|5|es|potenciaverde_
08-01-2023|0|0|es|SomosExcelergy
08-01-2023|2|0|es|ANPIER_Asoc
08-01-2023|0|0|es|VersolEnergy
08-01-2023|0|0|es|VersolEnergy
08-01-2023|0|0|es|VersolEnergy
08-01-2023|1|0|es|gbatistaart
08-01-2023|1|0|es|Sv_Greenpower
08-01-2023|1|0|es|Sv_Greenpower
07-01-2023|0|1|es|victorsanva
07-01-2023|0|2|es|Manuel_Garcia__
07-01-2023|0|2|es|juanmendezc
07-01-2023|2|2|es|GSolarlighting
07-01-2023|0|0|es|quintopodergt
07-01-2023|0|1|es|Majoes
07-01-2023|1|0|es|SOLARMI_BIPV
07-01-2023|0|0|es|V2C_Charge
07-01-2023|1|0|es|ionsmartenergy
07-01-2023|1|0|es|Sv_Greenpower
07-01-2023|1|0|es|Sv_Greenpower
06-01-2023|2|1|es|domiviera
06-01-2023|0|4|es|JorgeEdoAlbacar
06-01-2023|0|3|es|rosaparks_es
06-01-2023|0|3|es|Drvaliente
06-01-2023|0|3|es|CesarEs25217802
06-01-2023|6|3|es|pnud
06-01-2023|0|2|es|ArkiKuali
06-01-2023|0|0|es|petrolero_ar
06-01-2023|1|0|en|WisergyEng
06-01-2023|1|0|es|Sv_Greenpower
06-01-2023|0|0|es|climatebonds_LT
06-01-2023|0|4|es|cHumanoyFeliz
06-01-2023|0|1|es|wozalabs
06-01-2023|0|4|es|morenovic63
06-01-2023|0|0|und|nildahcabana
06-01-2023|0|0|es|Solar_espana
06-01-2023|2|0|es|structuralia
06-01-2023|0|4|es|JacCabrero
06-01-2023|4|4|es|ANPIER_Asoc
06-01-2023|0|0|es|Gesternova
06-01-2023|1|1|es|ANPIER_Asoc
06-01-2023|0|0|es|alfredcarrera63
06-01-2023|5|1|es|V2C_Charge
06-01-2023|1|0|es|Sv_Greenpower
06-01-2023|1|0|es|Sv_Greenpower
05-01-2023|0|1|es|conradmeseguer
05-01-2023|0|0|es|sustentARtv
05-01-2023|0|1|es|MediosTec21_Vva
05-01-2023|0|2|es|Manureyesl
05-01-2023|1|0|es|Sv_Greenpower
05-01-2023|0|0|es|CoberturaNoti
05-01-2023|0|0|es|COGITIValencia
05-01-2023|2|1|es|ANPIER_Asoc
05-01-2023|1|1|es|ANPIER_Asoc
05-01-2023|1|0|it|ANPIER_Asoc
05-01-2023|1|0|es|jlcalderonraffo
05-01-2023|0|2|es|AVAESEN
05-01-2023|0|0|es|htnoticiasrd
05-01-2023|0|2|es|Rebeca_Torro
05-01-2023|0|2|es|jmdobrito
05-01-2023|1|1|es|SegurosSpp
05-01-2023|0|0|es|mediospanorama
05-01-2023|0|0|es|Radar24rd
05-01-2023|0|4|es|AduAsesores
05-01-2023|0|4|es|FCVCAM
05-01-2023|0|4|es|CONCOVI_Espana
05-01-2023|0|4|es|RevistaMetros2
05-01-2023|0|2|es|PedroVegaTorre1
05-01-2023|17|2|es|JAntonioRozas
05-01-2023|0|0|es|sammediterraneo
05-01-2023|0|1|es|Cesar20nudos
05-01-2023|3|2|es|PlataformaPEP
05-01-2023|5|1|es|V2C_Charge
05-01-2023|0|3|es|industriambient
05-01-2023|3|2|es|AVAESEN
05-01-2023|0|0|es|Acluxega
05-01-2023|0|0|es|europedirectCLM
05-01-2023|0|0|es|NexusEnergia
05-01-2023|0|1|es|geovanny_pardo
05-01-2023|1|0|es|Sv_Greenpower
05-01-2023|0|1|es|CNE_RD
05-01-2023|0|2|es|CarlosG92173302
05-01-2023|0|0|es|Terra360F
05-01-2023|0|2|es|Majoes
05-01-2023|1|0|es|Sv_Greenpower
04-01-2023|1|0|es|VowatApp
04-01-2023|0|1|und|PrensaEc1
04-01-2023|0|0|es|Telenoticiasrd
04-01-2023|0|0|es|tamarillano
04-01-2023|2|0|ca|ElDia_do
04-01-2023|0|3|es|ManzanilloEnerg
04-01-2023|0|2|es|oscardleoonm
